SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,36,005,New York,Bronx County,1,0,1472645,696334,776311,305228,334257,307310,350814,21097,22635,34303,36359,2913,3284,25483,28962,325093,356425,328782,375511,29421,32431,37622,39916,4325,4994,316137,349997,67741,69357,207973,237258,1979,2248,30810,32610,356,398,7278,8126,72735,74762,213663,243799,4151,4871,32765,34602,819,964,380197,426314,237487,264900,99337,113556,19118,20387,3493,3749,2557,2886,18205,20836,252358,281663,115119,131712,25270,27560,4857,5314,3506,4030
050,36,005,New York,Bronx County,1,1,102980,52535,50445,21774,20901,23659,22743,1512,1428,2541,2357,242,218,2807,2798,24088,23227,26084,25150,2239,2149,2939,2723,343,325,22243,21255,3931,3734,14818,14303,116,135,2282,2083,36,35,1060,965,4820,4544,15690,15096,304,302,2514,2290,60,55,30292,29190,17843,17167,8841,8440,1396,1293,259,274,206,183,1747,1833,19268,18683,10394,10054,1935,1847,425,433,283,270
050,36,005,New York,Bronx County,1,2,103202,52514,50688,22141,21180,23680,22976,1357,1363,2297,2268,209,188,2830,2713,24456,23410,26129,25338,2102,2067,2663,2616,328,289,20991,20536,3446,3266,14493,14213,114,145,2032,2027,26,28,880,857,4153,3966,15212,14926,285,306,2228,2210,58,54,31523,30152,18695,17914,9187,8763,1243,1218,265,241,183,160,1950,1856,20303,19444,10917,10412,1817,1761,435,406,270,235
050,36,005,New York,Bronx County,1,3,100518,51420,49098,21441,20852,23518,22271,1766,1713,2278,1972,189,249,2228,2041,23210,22458,25447,24039,2411,2299,2567,2228,291,352,20548,19567,3014,2808,14748,14244,192,173,1974,1748,14,11,606,583,3477,3251,15243,14728,327,298,2127,1886,36,35,30872,29531,18427,18044,8770,8027,1574,1540,304,224,175,238,1622,1458,19733,19207,10204,9311,2084,2001,440,342,255,317
050,36,005,New York,Bronx County,1,4,98184,50304,47880,22009,20761,22145,21267,1666,1651,2257,2073,243,200,1984,1928,23601,22304,23860,22921,2221,2191,2508,2323,339,306,20948,19616,4141,3378,14054,13677,179,200,1984,1794,31,23,559,544,4569,3795,14498,14112,297,318,2138,1934,55,47,29356,28264,17868,17383,8091,7590,1487,1451,273,279,212,177,1425,1384,19032,18509,9362,8809,1924,1873,370,389,284,259
050,36,005,New York,Bronx County,1,5,100149,49291,50858,21922,22060,21432,22940,1674,1603,2102,2106,239,194,1922,1955,23488,23647,23057,24611,2228,2188,2354,2338,327,293,20652,21118,4172,3578,13889,14996,191,154,1829,1839,23,27,548,524,4589,3976,14321,15414,314,279,1979,1971,56,59,28639,29740,17750,18482,7543,7944,1483,1449,273,267,216,167,1374,1431,18899,19671,8736,9197,1914,1909,375,367,271,234
050,36,005,New York,Bronx County,1,6,117694,56555,61139,23748,25190,25783,28217,1910,1895,2670,3089,261,280,2183,2468,25517,27148,27592,30319,2606,2695,2924,3380,389,415,23895,26223,3917,3950,16893,18680,193,191,2319,2763,26,24,547,615,4311,4389,17317,19173,335,355,2457,2906,70,65,32660,34916,19831,21240,8890,9537,1717,1704,351,326,235,256,1636,1853,21206,22759,10275,11146,2271,2340,467,474,319,350
050,36,005,New York,Bronx County,1,7,112765,54422,58343,23583,24142,24183,26702,1749,1733,2742,3125,235,253,1930,2388,25104,26011,25783,28724,2415,2535,2971,3415,343,380,23738,25379,4269,4212,16408,17598,119,170,2445,2753,27,29,470,617,4584,4640,16766,18080,256,351,2586,2919,64,72,30684,32964,19314,19930,7775,9104,1630,1563,297,372,208,224,1460,1771,20520,21371,9017,10644,2159,2184,385,496,279,308
050,36,005,New York,Bronx County,1,8,98279,46545,51734,20928,21900,19753,23357,1556,1665,2428,2751,248,242,1632,1819,22203,23271,21102,24903,2130,2312,2627,2977,345,357,20195,22126,3978,3728,13476,15269,124,123,2207,2515,15,23,395,468,4229,4032,13778,15633,254,269,2320,2647,49,65,26350,29608,16950,18172,6277,8088,1432,1542,221,236,233,219,1237,1351,17974,19239,7324,9270,1876,2043,307,330,296,292
050,36,005,New York,Bronx County,1,9,89904,41309,48595,18276,20108,17938,22304,1416,1484,2139,2707,201,214,1339,1778,19314,21417,19058,23825,1886,2106,2319,2941,291,336,18533,21493,3662,3422,12464,14973,91,109,1944,2447,18,23,354,519,3882,3737,12736,15382,206,278,2053,2594,46,78,22776,27102,14614,16686,5474,7331,1325,1375,195,260,183,191,985,1259,15432,17680,6322,8443,1680,1828,266,347,245,258
